id,name,member_count,admin_count,bot_role,is_bot_admin,restrict,owner
120363415290882243@g.us,Lebaran Fesitve - 2025,4,3,member,FALSE,FALSE,41773036511391@lid
120363162468372641@g.us,P3_RTS_DENPASAR,4,3,member,FALSE,FALSE,228170288607366@lid
120363163580955112@g.us,P3_RTS_KEDIRI,4,3,member,FALSE,FALSE,228170288607366@lid
120363147654935858@g.us,P3_RTS_SUMBAWA,4,3,member,FALSE,FALSE,228170288607366@lid
120363164676991952@g.us,P3_RTS_MADIUN,4,3,member,FALSE,FALSE,228170288607366@lid
120363161782181501@g.us,P2_RM_JAKB_KBTG,5,4,member,FALSE,FALSE,228170288607366@lid
120363145409105731@g.us,ALERT_RTS_CIKARANG,5,4,member,FALSE,FALSE,null
120363161987115219@g.us,P2_RM_SULSEL_SULTRA,5,3,member,FALSE,FALSE,228170288607366@lid
120363161784971076@g.us,P2_RM_PDLB_SRCL,5,4,member,FALSE,FALSE,228170288607366@lid
120363161124994066@g.us,P2_RM_MTRM_LOMTIM,5,4,member,FALSE,FALSE,228170288607366@lid
120363144389069486@g.us,P2_RM_SULUT,5,3,member,FALSE,FALSE,228170288607366@lid
120363298604615288@g.us,PE Upstream BUSOL,5,3,member,FALSE,FALSE,174955610247394@lid
120363163104735751@g.us,P2_RM_GRT_MDN,5,3,member,FALSE,FALSE,228170288607366@lid
120363144885217281@g.us,P3_RTS_MJLKA_SMD,5,4,member,FALSE,FALSE,228170288607366@lid
120363164672887657@g.us,P2_RM_BSKB,5,4,member,FALSE,FALSE,228170288607366@lid
120363403832169887@g.us,Low Fuel Alert,6,1,member,FALSE,FALSE,227771175420146@lid
120363145441622501@g.us,ALERT_RTS_KARAWANG,6,4,member,FALSE,FALSE,null
120363195489908042@g.us,ALERT_P2_KALBAR_TIMUR,6,2,member,FALSE,FALSE,62796834332716@lid
120363402821164536@g.us,DownDetektor Test,6,1,member,FALSE,FALSE,173443664326721@lid
120363146412569855@g.us,ALERT_RTS_JAKARTA_UTARA,6,4,member,FALSE,FALSE,null
6287889523323-1622644467@g.us,TEST WA,6,3,member,FALSE,FALSE,174955610247394@lid
120363143437878130@g.us,ALERT_RTS_JAKARTA_TIMUR,6,4,member,FALSE,FALSE,null
120363162533330344@g.us,ALERT_RTS_BEKASI,6,4,member,FALSE,FALSE,null
120363167337266724@g.us,ALERT RIAU INNER_2,6,1,member,FALSE,FALSE,60425978818700@lid
120363144789021850@g.us,ALERT_RTS_JAKARTA_BARAT,6,3,member,FALSE,FALSE,null
120363161891226382@g.us,ALERT_RTS_DENPASAR,6,3,member,FALSE,FALSE,null
120363417213771624@g.us,Tester Notification iPaem,6,2,member,FALSE,FALSE,227771175420146@lid
120363058695502823@g.us,CSR Auto Alert_North,6,3,member,FALSE,FALSE,174955610247394@lid
120363143371109855@g.us,ALERT_RTS_SOLO,6,3,member,FALSE,FALSE,null
120363163274710626@g.us,P2_RM_BKS_CKRW,6,4,member,FALSE,FALSE,228170288607366@lid
120363030366078115@g.us,Power Alarm KAL,6,5,member,FALSE,FALSE,75780503638025@lid
120363403542967717@g.us,Testing,6,1,member,FALSE,FALSE,173443664326721@lid
120363400371706299@g.us,TOA HIGHRISK,6,3,member,FALSE,FALSE,188218385391747@lid
120363159427056195@g.us,ALERT_RTS_SUMBAWA,7,3,member,FALSE,FALSE,null
120363144290320335@g.us,P3_RTS_TEGAL,7,4,member,FALSE,FALSE,228170288607366@lid
120363258972437738@g.us,PRPO Test Group,7,3,member,FALSE,FALSE,51668523720920@lid
120363161014118372@g.us,ALERT_RTS-INDRAMAYU BINONG,7,4,member,FALSE,FALSE,null
120363231946640928@g.us,Monitoring PAMA SUM,7,4,member,FALSE,FALSE,174955610247394@lid
120363021849570579@g.us,FTTH Power Alert,7,3,member,FALSE,FALSE,132164783980603@lid
120363144055903617@g.us,ALERT_RTS_SEMARANG,7,3,member,FALSE,FALSE,null
6287870060004-1623899559@g.us,Automation - TEML,7,2,member,FALSE,FALSE,null
120363162405995463@g.us,ALERT_RTS_SURABAYA,7,4,member,FALSE,FALSE,null
120363163216010196@g.us,P3_RTS_PURWOKERTO,7,4,member,FALSE,FALSE,228170288607366@lid
120363144205773229@g.us,ALERT_RTS-PURWAKARTA_SUBANG,7,4,member,FALSE,FALSE,null
120363159677664049@g.us,P3_RTS_BANDUNG_1,7,4,member,FALSE,FALSE,228170288607366@lid
120363341483000641@g.us,CCH Complaint Alert,7,1,member,FALSE,FALSE,36163809202177@lid
120363143285553825@g.us,P3_RTS_BANDUNG_2,7,5,member,FALSE,FALSE,228170288607366@lid
120363375200959400@g.us,SF AUTIN WhatsApp (HW),7,2,member,FALSE,FALSE,50105189200009@lid
120363162420784713@g.us,P2_Central Java 1,7,4,member,FALSE,FALSE,228170288607366@lid
120363144410950086@g.us,P3_RTS_PKLNG_KBMN,7,4,member,FALSE,FALSE,228170288607366@lid
120363384457548824@g.us,PT MITRACOMM EKASARANA (Mitracomm),7,4,member,FALSE,FALSE,187342312726550@lid
120363164238534364@g.us,P2_RM_DPK_KTTS,7,5,member,FALSE,FALSE,228170288607366@lid
120363418540383698@g.us,New Monitoring WA,7,1,member,FALSE,FALSE,176192611209410@lid
120363306485714469@g.us,West Daily Tools Check,8,6,member,FALSE,FALSE,281213185056937@lid
120363421076234506@g.us,SF SmartCare_KQI Alert,8,2,member,FALSE,FALSE,174955610247394@lid
120363162904827272@g.us,P3_RTS_INDMY_SUBANG,8,4,member,FALSE,FALSE,228170288607366@lid
120363162517299853@g.us,P3_RTS_MAGELANG,8,3,member,FALSE,FALSE,228170288607366@lid
120363147437791853@g.us,P2_West Java 1,8,4,member,FALSE,FALSE,228170288607366@lid
120363384179686623@g.us,Direktorat Pengelolaan Informasi (Dukcapil),8,1,member,FALSE,FALSE,187342312726550@lid
120363403324598122@g.us,INDOSAT – DBS (DBS),8,4,member,FALSE,FALSE,187342312726550@lid
120363143192970701@g.us,ALERT_RTS_BOGOR_2,8,3,member,FALSE,FALSE,null
120363403219997613@g.us,PT Pamapersada Nusantara (Pamapersada),8,3,member,FALSE,FALSE,187342312726550@lid
120363147860872800@g.us,P3_RTS_WONOGIRI,8,3,member,FALSE,FALSE,228170288607366@lid
120363143713734540@g.us,Alert_ RTS CIANJUR PLERED,8,4,member,FALSE,FALSE,null
120363302288483183@g.us,West Daily Material Check,8,6,member,FALSE,FALSE,281213185056937@lid
120363400482239520@g.us,INDOSAT - AXA (AXA),8,4,member,FALSE,FALSE,187342312726550@lid
120363214445525458@g.us,Monitoring PAMA KAL,8,5,member,FALSE,FALSE,174955610247394@lid
120363364154699549@g.us,"Bank Mandiri Taspen, PT (Bank Mantap)",8,1,member,FALSE,FALSE,187342312726550@lid
120363147448430954@g.us,P3_RTS_BANDUNG_3,8,4,member,FALSE,FALSE,228170288607366@lid
120363383747826986@g.us,PT Lancar Jaya Network (Lancar Jaya),8,1,member,FALSE,FALSE,187342312726550@lid
120363163725549659@g.us,P3_RTS_CJR_PWK,8,4,member,FALSE,FALSE,228170288607366@lid
120363161795173699@g.us,P2_Central Java 3,8,5,member,FALSE,FALSE,228170288607366@lid
120363044906933119@g.us,ALERT RTS SUMSEL INNER1,8,3,member,FALSE,FALSE,218339091677285@lid
120363162495905638@g.us,P3_RTS_YOGYA,8,3,member,FALSE,FALSE,228170288607366@lid
120363162239454951@g.us,P2_RM_GNYR_BAL_OTR,8,4,member,FALSE,FALSE,228170288607366@lid
120363309010807321@g.us,IPN Alert,8,6,member,FALSE,FALSE,142060422193174@lid
120363367076131669@g.us,PT DCI Indonesia (DCI),8,1,member,FALSE,FALSE,187342312726550@lid
120363372210391884@g.us,PT Parsaoran Global Datatrans,8,4,member,FALSE,FALSE,250959284453586@lid
120363159068874382@g.us,ALERT_RTS_KUDUS,8,4,member,FALSE,FALSE,null
120363371929430253@g.us,BTS Hotel Massive NE Down,9,7,member,FALSE,FALSE,174955610247394@lid
120363160063535677@g.us,ALERT_RTS_MADURA,9,5,member,FALSE,FALSE,null
120363161668807397@g.us,ALERT_RTS_BOGOR_1,9,3,member,FALSE,FALSE,null
120363370835833939@g.us,PT.JARINGANKU SARANA NUSANTARA (JSN),9,4,member,FALSE,FALSE,250959284453586@lid
120363379621043696@g.us,Power & Hightemp Core Routers,9,3,member,FALSE,FALSE,174955610247394@lid
120363351568850016@g.us,PT SUMBER UTAMA FIBER INDONESIA,9,4,member,FALSE,FALSE,250959284453586@lid
8613428911950-1593312523@g.us,TSS - OSS Escalation,9,5,member,FALSE,FALSE,null
120363370906718740@g.us,PT Giga Digital Nusantara,9,4,member,FALSE,FALSE,250959284453586@lid
120363141656860446@g.us,ALERT_RTS_SUKABUMI,9,3,member,FALSE,FALSE,null
120363370806917798@g.us,PT Andira Infomedia,9,4,member,FALSE,FALSE,250959284453586@lid
120363371797722053@g.us,PT Bank Mandiri PERSERO (Mandiri),9,4,member,FALSE,FALSE,250959284453586@lid
120363142974844922@g.us,ALERT_RTS_SUMUT_IN2,9,4,member,FALSE,FALSE,null
120363302905093264@g.us,Jabo Daily Material Check,9,7,member,FALSE,FALSE,281213185056937@lid
120363162962660693@g.us,ALERT_RTS_PARE2,9,4,member,FALSE,FALSE,null
120363370662307351@g.us,PT Gayatri Lintas Nusantara,9,4,member,FALSE,FALSE,250959284453586@lid
120363369168967604@g.us,PT Hipernet Indodata,9,4,member,FALSE,FALSE,250959284453586@lid
8613428911950-1593326508@g.us,TSS - ProxyLite EMS Escalation,9,5,member,FALSE,FALSE,null
120363162641954915@g.us,P2_RM_MDRA_SBY,9,4,member,FALSE,FALSE,228170288607366@lid
120363352138991115@g.us,PT Adeaksa Indo Jayatama,9,4,member,FALSE,FALSE,250959284453586@lid
120363369049347376@g.us,PT Mitra Transaksi Indonesia,9,4,member,FALSE,FALSE,250959284453586@lid
6285977300189-1606898242@g.us,RO Notification [CENTRAL],9,3,member,FALSE,FALSE,80912888914036@lid
120363405851206171@g.us,OWS Router Potential Impact Power,9,1,member,FALSE,FALSE,173443664326721@lid
120363144444232558@g.us,ALERT_RTS_PANDEGLANG,9,4,member,FALSE,FALSE,null
120363142768602980@g.us,ALERT_RTS_MKS_UTR_PAPUA,9,4,member,FALSE,FALSE,null
120363322671523322@g.us,Jabo Daily Tools Check,9,7,member,FALSE,FALSE,199093292912787@lid
120363352803178894@g.us,PT Bestcamp Prima Data,9,4,member,FALSE,FALSE,250959284453586@lid
120363162083085042@g.us,P2_Central Java 2,10,5,member,FALSE,FALSE,228170288607366@lid
120363044578433322@g.us,ALERT RTS RIAU 3,10,4,member,FALSE,FALSE,218339091677285@lid
120363163170642867@g.us,P2_West Java 2,10,4,member,FALSE,FALSE,228170288607366@lid
120363085484038164@g.us,CyberArk-License-Monitoring,10,4,member,FALSE,FALSE,null
6287887116330-1622689467@g.us,TSS OWS,10,4,member,FALSE,FALSE,102752831172730@lid
120363162712560054@g.us,P2_West Java 3,10,5,member,FALSE,FALSE,228170288607366@lid
6287887116330-1633391224@g.us,TSS - Autohealing Escalation,10,6,member,FALSE,FALSE,102752831172730@lid
120363025185236833@g.us,ALERT RTS RIAU 1,10,3,member,FALSE,FALSE,218339091677285@lid
120363421276769243@g.us,Alert TT Customer Enterprise Summary,10,1,member,FALSE,FALSE,187342312726550@lid
6281995196980-1589359564@g.us,Site Enterprise,10,5,member,FALSE,FALSE,182785285328980@lid
120363163189714143@g.us,P2_RM_JAKP_JAKS,10,5,member,FALSE,FALSE,228170288607366@lid
120363146392924929@g.us,ALERT_RTS_PDGLNG_LEBAK,10,4,member,FALSE,FALSE,null
120363419626326084@g.us,Alert Site,10,5,member,FALSE,FALSE,105682669945085@lid
6285977300189-1606898316@g.us,RO Notification [WEST],10,4,member,FALSE,FALSE,80912888914036@lid
6285977300189-1606898285@g.us,RO Notification [EAST],10,4,member,FALSE,FALSE,80912888914036@lid
120363145705816274@g.us,P2_RM_GRT_SDJ_MDN,10,4,member,FALSE,FALSE,228170288607366@lid
120363368973241886@g.us,PT Bank Central Asia Tbk (Bank Central Asia / BCA),10,4,member,FALSE,FALSE,250959284453586@lid
120363145766997560@g.us,P3_RTS_CIAMIS_TSKMLY,10,4,member,FALSE,FALSE,228170288607366@lid
8613428911950-1593326190@g.us,TSS NIMS EMS,10,7,member,FALSE,FALSE,null
120363362777179185@g.us,Monitoring PMTCMT Dashboard (aiops) Data Missing,10,5,member,FALSE,FALSE,187398130507968@lid
120363145812227409@g.us,ALERT_RTS_TANGERANG_KAB,10,4,member,FALSE,FALSE,null
120363027976445121@g.us,ALERT RTS SUMSEL INNER2,11,4,member,FALSE,FALSE,218339091677285@lid
120363404232190241@g.us,Alert PT. TITAN JAYA SOLUSI (POLRI),11,2,member,FALSE,FALSE,187342312726550@lid
120363322392193266@g.us,North Daily Material Check,11,7,member,FALSE,FALSE,281213185056937@lid
120363046711530527@g.us,ALERT RTS BELITUNG,11,8,member,FALSE,FALSE,62796834332716@lid
120363401356604093@g.us,Alert FTTH Enterprise,11,5,member,FALSE,FALSE,167435088990340@lid
120363160774963805@g.us,ALERT_RTS_DEPOK,11,4,member,FALSE,FALSE,null
120363161533648627@g.us,ALERT_RTS_SUMUT_IN1,11,4,member,FALSE,FALSE,null
120363161498713682@g.us,ALERT_RTS_MKS_SEL_AMBON,11,6,member,FALSE,FALSE,null
120363291297626926@g.us,Enterprise Link Degradation,11,5,member,FALSE,FALSE,75780503638025@lid
120363025479545002@g.us,ALERT RTS RIAU 2,11,4,member,FALSE,FALSE,218339091677285@lid
120363356631343903@g.us,PT Bank HSBC Indonesia (HSBC),11,4,member,FALSE,FALSE,250959284453586@lid
8613428911950-1593326551@g.us,TSS - SmartCare EMS Escalation,11,5,member,FALSE,FALSE,null
120363163863853256@g.us,P2_RM_SMT_OTR_NAD,11,5,member,FALSE,FALSE,228170288607366@lid
120363027324285044@g.us,ALERT RTS RIAU OUTER_2,11,3,member,FALSE,FALSE,218339091677285@lid
120363369857941724@g.us,PT Bank BTPN Tbk (BTPN / SMBC),11,4,member,FALSE,FALSE,250959284453586@lid
6287887116330-1630515366@g.us,TSS S3,11,6,member,FALSE,FALSE,102752831172730@lid
120363142681495457@g.us,ALERT_RTS_LEBAK,11,4,member,FALSE,FALSE,null
120363285396195949@g.us,ALERT_RTS_GRT_LIMBNGAN,11,6,member,FALSE,FALSE,62796834332716@lid
120363322457578779@g.us,North Daily Tools Check,11,9,member,FALSE,FALSE,281213185056937@lid
120363353163254102@g.us,PT Bank BTPN Syariah Tbk,11,4,member,FALSE,FALSE,250959284453586@lid
120363145940070008@g.us,ALERT_RTS_SERANG_CILEGON,12,3,member,FALSE,FALSE,null
120363369826694798@g.us,PT Bank Permata Tbk (Permata),12,4,member,FALSE,FALSE,250959284453586@lid
120363047898439272@g.us,ALERT RTS BANGKA,12,8,member,FALSE,FALSE,62796834332716@lid
120363142606869392@g.us,ALERT_RTS_TANGKOT,12,3,member,FALSE,FALSE,null
120363423169116085@g.us,CGNAT Alert,12,1,member,FALSE,FALSE,151608184823875@lid
120363404887237427@g.us,"Multitech Infomedia, PT (Multitech)",12,4,member,FALSE,FALSE,187342312726550@lid
8613428911950-1600675508@g.us,TSS - PMT Escalation,12,6,member,FALSE,FALSE,null
6281932174607-1600823637@g.us,RO Notification [JABO],12,3,member,FALSE,FALSE,127105396424879@lid
120363323285720027@g.us,Central Daily Material Check,12,7,member,FALSE,FALSE,281213185056937@lid
120363142221275684@g.us,ALERT_RTS_BANDUNG_2,13,2,member,FALSE,FALSE,null
120363029148538840@g.us,ALERT_CSR_KBMN_PWKT_TGAL,13,4,member,FALSE,FALSE,62796834332716@lid
120363044157253839@g.us,ALERT RTS BENGKULU,13,4,member,FALSE,FALSE,218339091677285@lid
120363161405125018@g.us,ALERT_RTS_SULUT_MALUT,13,4,member,FALSE,FALSE,null
120363046104451142@g.us,ALERT RIAU OUTER 1,13,3,member,FALSE,FALSE,218339091677285@lid
120363022910680852@g.us,TSS ONMSi&Fecylium,13,7,member,FALSE,FALSE,102752831172730@lid
120363382908705390@g.us,"MEGA ACCESS PERSADA, PT. (Fiberstar)",13,4,member,FALSE,FALSE,187342312726550@lid
8613428911950-1593326462@g.us,TSS - In-House Server Escalation,13,6,member,FALSE,FALSE,null
120363421297975839@g.us,Alert PT. Jalin ATM M2M,13,1,member,FALSE,FALSE,187342312726550@lid
6287887116330-1622683845@g.us,TSS FSO,13,6,member,FALSE,FALSE,102752831172730@lid
120363151496681126@g.us,RTS_ALERT_GARUT_LIMBANGAN,13,4,member,FALSE,FALSE,228170288607366@lid
120363142041988202@g.us,XLSmart MS Dev-Ops Team,13,7,member,FALSE,FALSE,174955610247394@lid
120363424122829240@g.us,RAN OUTAGE ALERT,13,1,member,FALSE,FALSE,173443664326721@lid
120363419913288241@g.us,Potential Incident SF >40,13,6,member,FALSE,FALSE,75780503638025@lid
120363161037450890@g.us,ALERT_RTS_SUMUT_IN3,13,3,member,FALSE,FALSE,null
120363049291838082@g.us,Alert Complaint Ticket Hourly,13,5,member,FALSE,FALSE,174955610247394@lid
6287887116330-1606205393@g.us,TSS - FMT Collector Escalation,13,6,member,FALSE,FALSE,102752831172730@lid
120363215696252842@g.us,ALERT_RTS_KAL_PLGKARAYA,13,4,member,FALSE,FALSE,62796834332716@lid
120363401382076802@g.us,Potential Incident SF <40,13,6,member,FALSE,FALSE,75780503638025@lid
120363321690035373@g.us,Central Daily Tools Check,13,7,member,FALSE,FALSE,281213185056937@lid
120363161957153378@g.us,ALERT_RTS_SUMUT_IN4,13,4,member,FALSE,FALSE,null
120363353404415800@g.us,PT Bank Sinarmas (Sinarmas),14,4,member,FALSE,FALSE,250959284453586@lid
120363047167356847@g.us,ALERT RTS SUMSEL INNER3,14,5,member,FALSE,FALSE,218339091677285@lid
120363144754717159@g.us,ALERT_RTS_ACEH_2,14,6,member,FALSE,FALSE,null
120363141544527550@g.us,ALERT_RTS_TANGSEL,14,4,member,FALSE,FALSE,null
8613428911950-1593326245@g.us,TSS - Infinera EMS Escalation,14,6,member,FALSE,FALSE,null
120363161552497797@g.us,ALERT_RTS_SUMUT_OUT3,14,4,member,FALSE,FALSE,null
120363145808366812@g.us,ALERT_RTS_SUL_TANGRA,14,5,member,FALSE,FALSE,null
120363384108305638@g.us,PT Starlink Services Indonesia (Space-X),14,6,member,FALSE,FALSE,187342312726550@lid
8613428911950-1593326049@g.us,TSS - Power EMS Escalation,14,6,member,FALSE,FALSE,null
120363045401845088@g.us,NPM Automation,14,6,member,FALSE,FALSE,271575211343935@lid
120363203464932138@g.us,Alert Stolen GRT MDN & SMT OTR NAD,14,4,member,FALSE,FALSE,174955610247394@lid
6592975187-1632110800@g.us,DWDM Fiber Optics Auto-TT Rule,14,6,member,FALSE,FALSE,80131322339430@lid
120363028228863807@g.us,ALERT CCSI KEPRI INNER,14,3,member,FALSE,FALSE,218339091677285@lid
120363312402924907@g.us,TSS - Onmicom Escalation,14,5,member,FALSE,FALSE,102752831172730@lid
120363143683756525@g.us,ALERT_RTS_JAKARTA_PUSAT,14,5,member,FALSE,FALSE,null
120363161244553522@g.us,P3_RTS_CRBN_KGN,14,4,member,FALSE,FALSE,228170288607366@lid
120363163937850232@g.us,P2_RM_NTT,15,3,member,FALSE,FALSE,228170288607366@lid
120363413102688983@g.us,Southern Sumatera_PLM Patrol Alert,15,8,member,FALSE,FALSE,63346674032672@lid
120363143614502491@g.us,ALERT_RTS_BANDUNG_1,15,2,member,FALSE,FALSE,null
120363317687656642@g.us,Automated ECCS,15,9,member,FALSE,FALSE,281423588130991@lid
6281315055517-1630295799@g.us,TSS - Landing Server Escalation,15,5,member,FALSE,FALSE,null
6281219000443-1616767950@g.us,SDMT TT Testing Group,15,4,member,FALSE,FALSE,null
120363401256481616@g.us,Packet-Loss C/AG <> PAG,15,8,member,FALSE,FALSE,57591233294493@lid
120363143326546234@g.us,C5-ALERT_RTS_CIAMIS_TSKMLY,15,3,member,FALSE,FALSE,null
120363214731525706@g.us,ALERT_RTS_KALTIM_UTARA,15,3,member,FALSE,FALSE,62796834332716@lid
120363424089337751@g.us,VIP ALERT REALTIME,15,2,member,FALSE,FALSE,173443664326721@lid
120363370330128970@g.us,PT Bank CIMB Niaga Tbk (CIMB Niaga),15,4,member,FALSE,FALSE,250959284453586@lid
120363027777018541@g.us,ALERT KEPRI OUTER,15,5,member,FALSE,FALSE,218339091677285@lid
8613428911950-1593325886@g.us,TSS - NCE DWDM Escalation,15,6,member,FALSE,FALSE,null
6287887116330-1609226925@g.us,TSS - UMBOSS EMS Escalation,15,6,member,FALSE,FALSE,102752831172730@lid
120363142960941048@g.us,C5-ALERT_RTS_CRBN_KGN,15,5,member,FALSE,FALSE,null
120363159828911473@g.us,ALERT_RTS_SUMUT_OUT1,15,5,member,FALSE,FALSE,null
8613428911950-1593326403@g.us,TSS  - NCE IP Escalation,15,6,member,FALSE,FALSE,null
120363367171782661@g.us,Power Critical NE JABO,15,10,member,FALSE,FALSE,216393454735400@lid
120363021382281461@g.us,Developer Kata NYA,15,4,member,FALSE,FALSE,213386893783050@lid
120363143855199048@g.us,ALERT_RTS_SUMUT_OUT2,15,5,member,FALSE,FALSE,null
6281315055517-1622651068@g.us,TSS - EPNM Escalation,15,6,member,FALSE,FALSE,null
120363161951360452@g.us,ALERT_RTS_TEGAL,15,4,member,FALSE,FALSE,null
120363370679255423@g.us,PT Bank Negara Indonesia (Persero) Tbk (BNI),15,4,member,FALSE,FALSE,250959284453586@lid
120363143626408693@g.us,ALERT_RTS_PURWOKERTO,15,4,member,FALSE,FALSE,null
120363394558922370@g.us,East Java_PLM Patrol Alert,15,6,member,FALSE,FALSE,63346674032672@lid
120363142623884801@g.us,ALERT_RTS_LOMBOK_TIMUR,16,4,member,FALSE,FALSE,null
120363412347153672@g.us,West Java_PLM Patrol Alert,16,5,member,FALSE,FALSE,63346674032672@lid
6287887116330-1627437243@g.us,TSS - NCE MW Escalation,16,6,member,FALSE,FALSE,102752831172730@lid
120363411888487957@g.us,South Central Kalimantan_PLM Patrol Alert,16,6,member,FALSE,FALSE,63346674032672@lid
6287884005040-1602499188@g.us,BO TRM WA Auto Alerts,16,3,member,FALSE,FALSE,null
120363143433127669@g.us,C5-ALERT_RTS_MJLKA_SMD,16,5,member,FALSE,FALSE,null
120363195965196302@g.us,ALERT_RTS_KALBAR,16,5,member,FALSE,FALSE,62796834332716@lid
120363412255813976@g.us,Northern Sumatera_PLM Patrol Alert,16,6,member,FALSE,FALSE,63346674032672@lid
8613428911950-1593312753@g.us,TSS -  Huawei EMS Escalation,16,6,member,FALSE,FALSE,null
120363030217822784@g.us,ALERT RTS JAMBI MUARA BUNGO,16,5,member,FALSE,FALSE,62796834332716@lid
6287887116330-1609226838@g.us,TSS File Missing & Data Stop,16,6,member,FALSE,FALSE,102752831172730@lid
6281219000443-1615974376@g.us,WA SERVICE MONITORING,16,6,member,FALSE,FALSE,null
6287887116330-1610423003@g.us,TSS - FTTH Escalation,16,9,member,FALSE,FALSE,102752831172730@lid
120363402714582942@g.us,CRC Dashboard Verification,16,4,member,FALSE,FALSE,30928227291363@lid
120363337311651572@g.us,TR Delay Escalation,16,2,member,FALSE,FALSE,174955610247394@lid
120363142801083611@g.us,ALERT_RTS_MALANG,16,6,member,FALSE,FALSE,null
120363043509571421@g.us,TSS - ZTE EMS Escalation,16,7,member,FALSE,FALSE,102752831172730@lid
120363400049027196@g.us,Group Testing Notif WA,16,7,member,FALSE,FALSE,173443664326721@lid
120363405012293884@g.us,OP OWS - PMT-CMT Developer,16,3,member,FALSE,FALSE,88459783999618@lid
120363398364497821@g.us,Bali Nusra_PLM Patrol Alert,17,6,member,FALSE,FALSE,63346674032672@lid
8613428911950-1593325990@g.us,TSS - Ericsson EMS Escalation,17,6,member,FALSE,FALSE,null
120363393836771278@g.us,Sulawesi_PLM Patrol Alert,17,4,member,FALSE,FALSE,63346674032672@lid
120363164170077663@g.us,P2_RM_LAM_BABEL,17,7,member,FALSE,FALSE,228170288607366@lid
120363418433868763@g.us,Power & Genset Alarm Increasing Alert,17,6,member,FALSE,FALSE,228170288607366@lid
8613428911950-1593326351@g.us,TSS - NOKIA EMS Escalation,17,6,member,FALSE,FALSE,null
120363403328465045@g.us,LinkNet (LinkNet),17,3,member,FALSE,FALSE,187342312726550@lid
120363325100204507@g.us,VIP Roaming Alert,17,2,member,FALSE,FALSE,41773036511391@lid
